ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
174743341 , Montana Terrasse - Unikt beliggende 3-roms toppleilighet med stor terrasse ved "Bergens tak", heis og garasjeplass. Stort loft til lagring. , Johan Blytts vei 42, Bergen , 82 m² , 5 350 000 kr , Totalpris: 5 573 571 kr • Fellesutg.: 3 553 kr , PrivatMegleren Vikebø & Jørgensen
174738688 , LIKE VED LAKSEVÅG SENTER - Stilren hjørneleilighet med sjøutsikt og balkong! God planløsning. Kjøkken fra 2017. , Kringsjåveien 81, Laksevåg , 66 m² , 2 150 000 kr , Totalpris: 2 215 601 kr • Fellesutg.: 4 195 kr , Eiendomsmegler Vest Nesttun
170562603 , SANDVIKEN - Lekker 4-roms eierleilighet med stor terrasse og garasjeplass , Nyhavn 15, Bergen , 92 m² , 6 100 000 kr , Totalpris: 6 261 070 kr • Fellesutg.: 2 743 kr , Eiendomsmegler Vest Bergen Sentrum
169556387 , Stor hjørneleilighet med utsikt over Grimstadfjorden - 3 soverom - garasje - 28 m2 terrasse , Bjørgelien 96, Fyllingsdalen , 140 m² , 4 790 000 kr , Totalpris: 4 927 152 kr • Fellesutg.: 3 908 kr , PrivatMegleren Vikebø & Jørgensen
174721871 , En unik enebolig med moderniseringsbehov i attraktive Solbakken. Panoramautsikt og fantastiske solforhold. , Solbakken 14A, Bergen , 92 m² , 5 990 000 kr , Totalpris: 6 155 392 kr , PrivatMegleren Vikebø & Jørgensen
163712186 , Rådal - En stor og innbydende leilighet med 2 stuer og fin utsikt. Garasjeplass. , Rådalslien 115, Rådal , 105 m² , 5 590 000 kr , Totalpris: 5 746 742 kr • Fellesutg.: 2 376 kr , PrivatMegleren Vikebø & Jørgensen
173303965 , Fyllingsdalen - Tiltalende rekkehus beliggende på høydedrag. Nydelige sol- og utsiktsforhold. Kort vei til skole og nydelig natur. , Nordnæsdalsveien 2C, Fyllingsdalen , 122 m² , 4 450 000 kr , Totalpris: 4 562 420 kr • Fellesutg.: 600 kr , Eiendomsmegler 1 avd Fyllingsdalen
174678759 , Nesttun / Grimen - Flott enebolig med nydelig utsikt over Grimevannet - Innholdsrikt enebolig over tre plan. Pen bolig , Hardangervegen 276, Nesttun , 163 m² , 3 350 000 kr , Totalpris: 3 435 092 kr , DNB Eiendom AS
174692820 , Fyllingsdalen - Attraktiv 3-roms toppleilighet m/balkong. Sentral beliggenhet med nærhet til "alt". Kommende bybanestopp , Ortuflaten 56, Fyllingsdalen , 68 m² , 2 390 000 kr , Totalpris: 2 432 105 kr • Fellesutg.: 4 756 kr , Himla
174692724 , Attraktiv 2-roms leilighet med flott utsikt. Sentrumsnær. Garasjeplass. Heis i bygget. Ingen forkjøpsrett. Ingen dok.avg , Frydenbølien 6, Bergen , 58 m² , 2 150 000 kr , Totalpris: 2 257 024 kr • Fellesutg.: 3 903 kr , Himla
174347478 , Pen og romslig 2-roms leilighet med attraktiv beliggenhet på Landås - Fast garasjeplass - Innglasset balkong , Slettebakksveien 80C, Bergen , 59 m² , 2 200 000 kr , Totalpris: 2 466 831 kr • Fellesutg.: 3 665 kr , Eiendomsmegler Vest Landås
174685585 , MINDE | Pen 3-roms andelsleilighet uten fellesgjeld og lave felleskostnader | Ingen forkjøpsrett | Utsikt | , Løbergsveien 106 D, Bergen , 53 m² , 2 600 000 kr , Totalpris: 2 605 232 kr • Fellesutg.: 2 699 kr , Eigedomsmekling Sogn Og Fjordane As - Avd. Bergen
173836569 , LAKSEVÅG - Flott 3 roms leilighet oppgradert i senere år | Vestvendt balkong | Felles parkering med EL bil lademulighet | BØR SEES , Monrad Mjeldes vei 5C, Laksevåg , 61 m² , 1 950 000 kr , Totalpris: 2 194 894 kr • Fellesutg.: 4 764 kr , Eiendomsmegler Vest Bergen Sentrum
174681207 , MORVIK- Velholdt enebolig med to bad, kjellerstue, to innganger. Garasje og stor tomt. Vakker utsikt og sol hele dagen. , Torvli 15, Morvik , 155 m² , 5 500 000 kr , Totalpris: 5 650 170 kr , Eiendomsmegler Vest Nesttun
174680297 , Nattland - Landås - Nattland - Nyere sørvestvendt 3-roms selveierleilighet med altan, heis og garasjeplass i kjeller. Attraktivt område. , Lerkerinden 67, Bergen , 56 m² , 2 780 000 kr , Fellesutg.: 1 582 kr , PrivatMegleren Syd
174638168 , Ny moderne tomannsbolig i Morviklien , Morviklien 8, Morvik , 124 m² , 6 250 000 kr , Totalpris: 6 275 000 kr • Fellesutg.: 1 250 kr , Boligsenteret Prosjektutvikling AS
174624063 , Møllendal - 2- roms leilighet med sentral beliggenhet i bygg fra 2008. Gode kvaliteter, heis i bygget og felles takterrasse! , Møllendalsbakken 1, Bergen , 35 m² , 2 350 000 kr , Totalpris: 2 410 092 kr • Fellesutg.: 1 590 kr , Krogsveen avd. Bergen Sentrum
