SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
125496411,Sokkelleilighet ved sjøen på Madlasandnes,Gjerdestien -  Hafrsfjord, 65 m²,8 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=125496411,
174514720,Enebolig med 4 soverom og stor hage til leie,Betalt plassering, 145 m²,12 500 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174514720,
174348504,Sentralt - Delikat 2-romsleilighet (1. et.) Parkering. Solrik terrasse.,Stokkaveien 21 -  Stavanger, 49 m²,12 500 kr,DREYER BOLIG AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174348504,
174343031,Stavanger Øst - Ny -  flott 2-romsleilighet (4. et.). Parkering. Balkong. Møblert.,Rennesøygata 14G -  Stavanger, 53 m²,12 900 kr,DREYER BOLIG AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174343031,
174243819,Madlasandnes- Fin enebolig med 4 soverom i et barnevennlig område / Nice house with 4 bedrooms in a child friendly area.,Ospebergleitet 20 -  Hafrsfjord, 214 m²,20 000 kr,EiendomsMegler 1 Boligutleie,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174243819,
174340540,Bjergsted (sentralt) - Flott 2-romsleilighet (4. et.). Balkong. Fast parkering.,KAPTEIN MEJLÆNDERS GATE 21 -  Stavanger, 55 m²,12 000 kr,DREYER BOLIG AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174340540,
174333396,Helt ny 4-roms toppleilighet - Møblert etter avtale - 2 private takterrasser - utsikt,Hamneveien 21 - 602 -  Stavanger, 113 m²,20 000 kr,Utleiemegleren Stavanger,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174333396,
174333285,SOLA/GRANNES - Lekker -  totalrenovert enebolig 3(4) soverom -  2 stuer -  2 bad -  vaskerom med nydelig utsikt i landlige omgivelser. Kort vei til Forus/Stavanger,Gamle Grannesveg 33 -  Hafrsfjord, 202 m²,25 000 kr,Utleiemegleren Stavanger,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174333285,
170861010,VESTRE PLATÅ. Alt inkludert! 2 soverom inkl. strøm/tv-kanaler/internet,Steingata -  Stavanger, 55 m²,10 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=170861010,
174330803,2-roms leilighet midt i Stavanger sentrum til leie - 1 soverom -  nytt kjøkken - sentralt -,Nordbøgata 10 - Leilighet 302 -  Stavanger, 53 m²,9 500 kr,Utleiemegleren Stavanger,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174330803,
174297127,Leilighet i Stavanger sentrum med 4 soverom,JOHAN THORSENS GATE 66 A -  Stavanger, 95 m²,14 000 kr,Centrum Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174297127,
118966266,Flott toppleilighet med fantastisk utsikt. 2 soverom -  heis og parkering.,Lervigbrygga 161 -  Stavanger, 71 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=118966266,
116146722,Lys og moderne sokkelleilighet på Gausel med solrik terrasse,Nådlandsberget 49B -  Stavanger, 64 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=116146722,
174295658,Leilighet i Stavanger sentrum med 2 soverom,EMMAUSVEIEN 5 -  Stavanger, 60 m²,9 000 kr,Centrum Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174295658,
174294385,Leilighet i Stavanger sentrum med 2 soverom,LYDER SAGENS GATE 18 -  Stavanger, 75 m²,10 000 kr,Centrum Apartments AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174294385,
174286747,Sentrumsnært -  Bjergsted -  internett og tv-kanaler inkludert,TANKE SVILANDS GATE 42 -  Stavanger, 42 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174286747,
74741934,Koselig leilighet sentralt i Stavanger,KONGSTEINSGATA 38 A -  Stavanger, 24 m²,6 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=74741934,
174125561,Stavanger Øst - Vestvendt 3-roms leilighet med gangavstand til sentrum,Spilderhauggata 25 -  Stavanger, 56 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174125561,
119563080,Romslig sokkelleilighet for 3 studenter nær UIS,Draumkvædestien 5 -  Stavanger, 100 m²,15 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=119563080,
173878707,Sokkelleilighet til leie sentralt i Stavanger,Brødregata 23 -  Stavanger, 36 m²,8 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=173878707,
120337325,Lys og trivelig leilighet i Ullandhaugskråningen nær UIS. Ledig fra 1.7.2020 (evt fra 1/5),Veslemøyveien 19 -  Stavanger, 75 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=120337325,
114158069,kjeller 7 - 500,MADLAVEIEN 55 A -  Stavanger, 75 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=114158069,
158857804,Ny moderne leilighet til leie,Tasta -  Stavanger, 55 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=158857804,
137140601,Laberget / Hinna Park - Nyere 2-roms med høy standard og stor terrasse,Laberget 88 -  Stavanger, 55 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=137140601,
169822763,Kjellerlelighet nær til UIS,Sigurd Syrs gate 4B -  Hafrsfjord, 30 m²,6 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=169822763,
